time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_range,train/loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,eval/mean_ep_length,eval/mean_reward
547,773.49,-4.85,782,1463,800768,,,,,,,,,,,,
547,774.16,-4.84,783,1464,801792,0.2,0.0078054750338196754,0.0,7820,-0.0002209517639130354,-1.600045132637024,9.991992320000001e-05,0.00011232734,0.8287763148546219,0.01731625683605671,,
547,773.52,-4.85,784,1465,802816,0.2,0.00828754622489214,0.0,7830,-0.00044443921651691196,-1.582997167110443,9.99198208e-05,0.0001815783,0.8224640041589737,0.019933071359992026,,
547,775.5,-4.84,785,1467,803840,0.2,0.007371796295046806,0.0,7840,-0.00039006753358989955,-1.5180654644966125,9.99197184e-05,9.902954e-05,0.814923495054245,0.017440271005034445,,
548,772.11,-4.84,786,1468,804864,0.2,0.008512601256370544,0.0,7850,-0.0007396842702291906,-1.6190585017204284,9.991961600000001e-05,0.00015891503,0.8161775022745132,0.021271224692463876,,
548,772.11,-4.84,787,1469,805888,0.2,0.007494690828025341,0.0,7860,-0.0002038652077317238,-1.6364215850830077,9.99195136e-05,0.00014800884,0.7884234935045242,0.017130819521844386,,
548,777.73,-4.85,788,1471,806912,0.2,0.011151477694511414,0.0,7870,-0.00024640574119985106,-1.6241560697555542,9.99194112e-05,6.311241e-05,0.47685182094573975,0.027294042333960534,,
548,782.76,-4.85,789,1472,807936,0.2,0.006094933953136206,0.0,7880,-0.0004048033442813903,-1.557018554210663,9.99193088e-05,0.00012401084,0.7285987734794617,0.014351077005267143,,
549,783.63,-4.85,790,1473,808960,0.2,0.0036705993115901947,0.0,7890,-0.0005796774523332715,-1.5397222757339477,9.991920640000001e-05,8.531308e-05,0.8290708214044571,0.011436880473047495,,
549,785.91,-4.84,791,1474,809984,0.2,0.006660269573330879,0.0,7900,-0.0003180460131261498,-1.5222223162651063,9.991910400000001e-05,9.499118e-05,0.7362588346004486,0.015855841245502232,,
549,787.29,-4.84,792,1475,811008,0.2,0.007846537977457047,0.0,7910,-0.0007992287864908576,-1.4823985695838928,9.99190016e-05,0.0002899617,0.7195672392845154,0.019934015534818172,,
549,788.01,-4.83,793,1477,812032,0.2,0.006941135041415691,0.0,7920,-0.00041638313559815287,-1.6333982229232789,9.991889920000001e-05,0.00013460196,0.783477246761322,0.018282690085470676,,
549,791.09,-4.83,794,1478,813056,0.2,0.010933701880276203,0.0,7930,-0.0014838920556940137,-1.6509414553642272,9.99187968e-05,0.00026132,0.6580897867679596,0.030364944599568844,,
550,788.68,-4.83,795,1479,814080,0.2,0.004515115171670914,0.0,7940,-0.0016708436654880644,-1.63442006111145,9.99186944e-05,0.00072897703,0.7714830487966537,0.017975642532110214,,
550,785.35,-4.83,796,1480,815104,0.2,0.0046124584041535854,0.0,7950,-0.0003370457096025348,-1.5752891659736634,9.9918592e-05,0.00034410515,0.8639738857746124,0.011152050830423832,,
550,784.89,-4.84,797,1481,816128,0.2,0.007961100898683071,0.0,7960,-0.00023263467010110618,-1.5884219765663148,9.991848960000002e-05,0.00010517414,0.7793130427598953,0.018231140077114107,,
550,786.72,-4.84,798,1483,817152,0.2,0.0013820738531649113,0.000390625,7970,-0.002482936438173056,-1.68702472448349,9.991838720000001e-05,0.0011404378,0.8397919833660126,0.014854680933058261,,
551,785.91,-4.83,799,1484,818176,0.2,0.01002376340329647,0.00029296875,7980,-0.00016799939330667258,-1.6502679347991944,9.99182848e-05,0.0005931858,0.6860234439373016,0.021436278149485587,,
551,784.23,-4.84,800,1485,819200,0.2,0.011274638585746288,0.0,7990,-0.00021166864316910506,-1.7222054481506348,9.99181824e-05,9.3580835e-05,0.7338611781597137,0.02418782375752926,,
551,779.35,-4.84,801,1486,820224,0.2,0.009577575139701366,0.0,8000,-0.0005712161539122463,-1.6909087419509887,9.991808e-05,0.00021051173,0.6831434071063995,0.022258327342569828,,
551,779.35,-4.84,802,1487,821248,0.2,0.008364702574908733,0.0,8010,-0.0003053577151149511,-1.717401647567749,9.99179776e-05,0.00011893522,0.7273947298526764,0.018724031187593936,,
552,782.79,-4.85,803,1489,822272,0.2,0.00662801880389452,0.0,8020,-0.0008829613216221333,-1.5701429724693299,9.99178752e-05,0.00025670807,0.45582085847854614,0.021144960634410383,,
552,783.9,-4.85,804,1490,823296,0.2,0.009918740019202232,0.0,8030,-0.00024271076545119287,-1.728664183616638,9.99177728e-05,0.00027676875,0.5466802418231964,0.021825295686721802,,
552,784.77,-4.85,805,1491,824320,0.2,0.004672612529247999,0.0,8040,-0.0002633442170917988,-1.4810710191726684,9.991767040000001e-05,8.1666105e-05,0.8324528336524963,0.011408638767898082,,
552,779.2,-4.86,806,1492,825344,0.2,0.005175601225346327,0.0,8050,-0.001012098416686058,-1.5287251114845275,9.9917568e-05,0.00026528246,0.7034942805767059,0.016278055775910617,,
553,777.14,-4.86,807,1494,826368,0.2,0.008186274208128452,0.0,8060,-0.0006326840491965413,-1.6640896677970887,9.99174656e-05,0.00035601502,0.6655937433242798,0.019869109243154527,,
553,778.15,-4.86,808,1495,827392,0.2,0.009817593730986118,0.0,8070,-0.0006073300028219819,-1.6394810557365418,9.991736320000001e-05,0.00033316115,0.7186612486839294,0.023737893253564835,,
553,780.4,-4.86,809,1496,828416,0.2,0.005383897107094526,0.0,8080,-0.000711642811074853,-1.5716026663780212,9.99172608e-05,0.00020502601,0.797124370932579,0.014317167550325393,,
553,778.64,-4.86,810,1497,829440,0.2,0.0030336380004882812,0.0,8090,-0.0006425968487747014,-1.5429635763168335,9.99171584e-05,0.00020092729,0.867840126156807,0.009667910914868117,,
554,778.03,-4.86,811,1498,830464,0.2,0.008161399513483047,0.0,8100,-4.748624050989747e-05,-1.585856020450592,9.9917056e-05,4.7893263e-05,0.7418696284294128,0.0175057178363204,,
554,773.48,-4.86,812,1500,831488,0.2,0.009067547507584095,0.0,8110,-0.0015674364753067494,-1.5277817010879517,9.991695360000001e-05,0.0004020197,0.7199266254901886,0.026489205472171307,,
554,771.66,-4.85,813,1501,832512,0.2,0.007903438992798328,0.0001953125,8120,-0.0008341131499037147,-1.6062127232551575,9.991685120000001e-05,0.0006157743,0.7294379770755768,0.020254067704081537,,
554,768.36,-4.86,814,1502,833536,0.2,0.014794367365539074,0.0,8130,-7.716775871813297e-05,-1.6203431129455566,9.99167488e-05,0.00010270794,0.6983788311481476,0.032633344456553456,,
555,771.39,-4.86,815,1503,834560,0.2,0.005909603089094162,0.0,8140,-0.0008786389604210854,-1.5131958603858948,9.99166464e-05,0.00020598256,0.8094862103462219,0.016474432311952114,,
555,772.18,-4.86,816,1504,835584,0.2,0.007030452135950327,0.0,8150,-1.3803900219500066e-05,-1.5612825989723205,9.9916544e-05,8.834977e-05,0.764390617609024,0.015922642219811677,,
555,769.93,-4.86,817,1505,836608,0.2,0.012940495274960995,0.0,8160,-0.0005332971457391977,-1.6664032697677613,9.991644160000001e-05,0.00011586456,0.6369825303554535,0.03151027802377939,,
555,771.62,-4.86,818,1507,837632,0.2,0.00868175271898508,0.0,8170,-0.00046994201838970186,-1.479409885406494,9.991633920000001e-05,0.00020835546,0.801173210144043,0.021081815659999847,,
556,772.68,-4.86,819,1508,838656,0.2,0.006329955533146858,0.0,8180,-0.0006845272378996015,-1.53772474527359,9.99162368e-05,0.00041568564,0.7940477281808853,0.01624786537140608,,
